request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2015-10-01,2015-10-05,NA,Parking,Parking Compliance Services,4,4
CLOSED,2016-01-07,2016-01-14,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,7,7
CLOSED,2015-11-19,2015-11-23,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,4,4
CLOSED,2015-10-18,2015-10-18,NA,Parking,Parking Compliance Services,0,0
CLOSED,2016-01-05,2016-01-05,NA,"Waste, Street Cleaning and Litter",Syringe pick-up services,0,0
CLOSED,2015-08-06,2015-09-10,NA,Parks and Trees,Condition of Assets in Parks,35,35
CLOSED,2016-02-03,2016-02-09,NA,Graffiti,Graffiti Removal,6,6
CLOSED,2015-08-08,2015-08-10,NA,"Waste, Street Cleaning and Litter",Waste Compactor,2,2
CLOSED,2015-10-09,2015-11-06,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,28,28
CLOSED,2016-01-06,2016-01-07,NA,Asset maintenance,Street Maintenance,1,1
CLOSED,2015-10-16,2015-11-11,Carlton,Graffiti,Graffiti Removal,26,26
CLOSED,2016-03-03,2016-03-21,NA,Roads and Traffic,Traffic Management,18,18
CLOSED,2015-09-23,2015-10-07,NA,Roads and Traffic,Traffic Management,14,14
CLOSED,2015-10-03,2015-10-07,NA,Graffiti,Graffiti Removal,4,4
CLOSED,2015-10-12,2015-10-13,NA,"Waste, Street Cleaning and Litter",Damaged Bins,1,1
CLOSED,2016-01-03,2016-01-06,NA,"Waste, Street Cleaning and Litter",Waste collection services,3,3
CLOSED,2016-01-04,2016-01-04,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,0,0
CLOSED,2015-10-16,2015-10-20,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,4,4
CLOSED,2015-12-10,2015-12-14,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,4,4
CLOSED,2016-03-08,2016-05-24,NA,Roads and Traffic,Traffic Management,77,77
CLOSED,2015-10-05,2015-10-20,NA,Graffiti,Graffiti Removal,15,15
CLOSED,2015-10-20,2015-10-22,NA,Roads and Traffic,Traffic Management,2,2
CLOSED,2016-03-05,2016-03-17,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,12,12
CLOSED,2015-10-16,2015-10-26,NA,Asset maintenance,Street Lighting Maintenance,10,10
CLOSED,2016-02-04,2016-03-02,NA,Parks and Trees,Tree Maintenance Services,27,27
CLOSED,2016-05-09,2016-05-25,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,16,16
CLOSED,2016-01-07,2016-01-08,NA,Parks and Trees,Sport and Playground Facilities,1,1
CLOSED,2016-01-04,2016-01-08,NA,Parks and Trees,Tree Maintenance Services,4,4
CLOSED,2015-07-20,2015-07-21,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
CLOSED,2016-05-05,2016-05-24,NA,Roads and Traffic,Road and Footpath Maintenance,19,19
CLOSED,2015-08-24,2015-08-26,NA,Roads and Traffic,Drain Maintenance,2,2
CLOSED,2015-12-10,2015-12-11,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
