request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete
CLOSED,2015-01-30,2015-02-05,,Graffiti,Graffiti Removal,6
CLOSED,2015-01-30,2015-02-10,,Graffiti,Graffiti Removal,11
CLOSED,2014-11-26,2014-12-01,,"Waste, Street Cleaning and Litter",Damaged Bins,5
CLOSED,2015-03-13,2015-03-19,,Roads and Traffic,Drain Maintenance,6
CLOSED,2015-04-07,2015-04-07,,Roads and Traffic,Road and Footpath Maintenance,1
CLOSED,2015-02-18,2015-02-23,,Graffiti,Graffiti Removal,5
CLOSED,2015-04-01,2015-04-08,,Graffiti,Graffiti Removal,7
CLOSED,2015-02-14,2015-02-16,,"Waste, Street Cleaning and Litter",Street Cleaning services,2
CLOSED,2015-02-19,2015-02-20,,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2015-02-24,2015-04-30,,Parks and Trees,Park Cleaning,65
CLOSED,2015-03-18,2015-03-23,,"Waste, Street Cleaning and Litter",Waste collection services,5
CLOSED,2015-03-27,2015-04-28,,Parks and Trees,Condition of Assets in Parks,32
CLOSED,2015-07-09,2015-07-13,,"Waste, Street Cleaning and Litter",Public Litter Bin,4
CLOSED,2015-04-21,2015-04-24,,"Waste, Street Cleaning and Litter",Damaged Bins,3
CLOSED,2015-05-15,2016-06-21,,Parking,Parking Meter Service,403
CLOSED,2015-04-27,2015-04-28,,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-06-02,2015-06-09,,"Waste, Street Cleaning and Litter",Dumped Rubbish,7
CLOSED,2015-07-05,2015-07-07,,"Waste, Street Cleaning and Litter",Syringe pick-up services,2
CLOSED,2015-04-16,2015-04-21,,"Waste, Street Cleaning and Litter",Damaged Bins,5
CLOSED,2015-06-19,2015-09-24,,Parks and Trees,Park Cleaning,97
CLOSED,2015-05-18,2015-05-19,,Roads and Traffic,Road and Footpath Maintenance,1
CLOSED,2015-05-18,2015-05-18,,"Waste, Street Cleaning and Litter",Syringe pick-up services,1
CLOSED,2015-01-18,2015-04-01,Melbourne,Parks and Trees,Park Cleaning,73
CLOSED,2015-05-22,2015-05-25,,"Waste, Street Cleaning and Litter",Public Litter Bin,3
CLOSED,2014-11-20,2014-11-24,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
